BMI1_HUMAN	H2A1A_HUMAN
BMI1_HUMAN	H2A1D_HUMAN
BMI1_HUMAN	H2A1C_HUMAN
BMI1_HUMAN	H2A1J_HUMAN
BMI1_HUMAN	H2A3_HUMAN
BMI1_HUMAN	H2AX_HUMAN
BMI1_HUMAN	H2A1_HUMAN
BMI1_HUMAN	H2A2A_HUMAN
BMI1_HUMAN	RIR1_HUMAN
BMI1_HUMAN	H2AZ_HUMAN
BRAP_HUMAN	CC14A_HUMAN
BRAP_HUMAN	BRAP_HUMAN
BRAP_HUMAN	UBP15_HUMAN
BRCA1_HUMAN	ESR1_HUMAN
BRCA1_HUMAN	NPM_HUMAN
BRCA1_HUMAN	BRCA1_HUMAN
BRCA1_HUMAN	AKT1_HUMAN
BRCA1_HUMAN	CLSPN_HUMAN
BRCA1_HUMAN	H2A1_HUMAN
BRCA1_HUMAN	PRGR_HUMAN
BRCA1_HUMAN	RPAB3_HUMAN
BRCA1_HUMAN	CCNB1_HUMAN
BRCA1_HUMAN	H2A1B_HUMAN
BRCA1_HUMAN	TBG1_HUMAN
BRCA1_HUMAN	H2A1A_HUMAN
BRCA1_HUMAN	MERL_HUMAN
BRCA1_HUMAN	H2B1A_HUMAN
BRCA1_HUMAN	RPB1_HUMAN
BRCA1_HUMAN	PSA7_HUMAN
BRCA1_HUMAN	TOP2A_HUMAN
BRCA1_HUMAN	NR1H3_HUMAN
BRCA1_HUMAN	BARD1_HUMAN
BRCA1_HUMAN	FACD2_HUMAN
BRCA1_HUMAN	H2AX_HUMAN
BRCA1_HUMAN	H2A2C_HUMAN
BRCA1_HUMAN	PTPA_HUMAN
BRCA1_HUMAN	MPIP3_HUMAN
BRCA1_HUMAN	PO2F1_HUMAN
BRCA1_HUMAN	ERPG3_HUMAN
BRCA1_HUMAN	Q2PQ59_9TRYP
FBW1A_HUMAN	CD4_HUMAN
FBW1A_HUMAN	CTNB1_HUMAN
FBW1A_HUMAN	MPIP1_HUMAN
FBW1A_HUMAN	IKBB_HUMAN
FBW1A_HUMAN	PER2_HUMAN
FBW1A_HUMAN	PER1_HUMAN
FBW1A_HUMAN	INGR1_HUMAN
FBW1A_HUMAN	ATF4_HUMAN
FBW1A_HUMAN	IKBA_HUMAN
FBW1A_HUMAN	MS18A_HUMAN
FBW1A_HUMAN	UBP37_HUMAN
FBW1A_HUMAN	BORA_HUMAN
FBW1A_HUMAN	GLI2_HUMAN
FBW1A_HUMAN	NF2L1_HUMAN
FBW1A_HUMAN	ZNRF3_HUMAN
FBW1A_HUMAN	HSF1_HUMAN
FBW1A_HUMAN	CLSPN_HUMAN
FBW1A_HUMAN	FBX5_HUMAN
FBW1A_HUMAN	FOXN2_HUMAN
FBW1A_HUMAN	MDM2_HUMAN
FBW1A_HUMAN	TWST1_HUMAN
FBW1A_HUMAN	HNRPD_HUMAN
FBW1A_HUMAN	PRLR_HUMAN
FBW1A_HUMAN	FANCM_HUMAN
FBW1A_HUMAN	SP1_HUMAN
FBW1A_HUMAN	MPIP2_HUMAN
FBW1A_HUMAN	DAND5_HUMAN
FBW1A_HUMAN	F263_HUMAN
FBW1A_HUMAN	WEE1_HUMAN
FBW1A_HUMAN	SMAD3_HUMAN
FBW1A_HUMAN	GLI3_HUMAN
FBW1A_HUMAN	SPAR_HUMAN
FBW1A_HUMAN	YAP1_HUMAN
FBW1A_HUMAN	EPOR_HUMAN
FBW1A_HUMAN	B2L11_HUMAN
FBW1A_HUMAN	BTG1_HUMAN
FBW1A_HUMAN	CASP3_HUMAN
FBW1A_HUMAN	RCAN1_HUMAN
FBW1A_HUMAN	UHRF1_HUMAN
FBW1A_HUMAN	GBF1_HUMAN
FBW1A_HUMAN	STAT1_HUMAN
FBW1A_HUMAN	TBCD7_HUMAN
FBW1A_HUMAN	GSK3B_HUMAN
FBW1A_HUMAN	PDCD4_HUMAN
FBW1A_HUMAN	NF2L2_HUMAN
FBW1A_HUMAN	ELF3_HUMAN
FBW1A_HUMAN	NFKB1_HUMAN
FBW1A_HUMAN	TFAP4_HUMAN
FBW1A_HUMAN	VGFR2_HUMAN
FBW1A_HUMAN	COMD1_HUMAN
FBW1A_HUMAN	BCL10_HUMAN
FBW1A_HUMAN	TIAM1_HUMAN
FBW1A_HUMAN	TP4A3_HUMAN
FBW1A_HUMAN	CDK1_HUMAN
FBW1A_HUMAN	SMAD4_HUMAN
FBW1A_HUMAN	P53_HUMAN
FBW1A_HUMAN	MCL1_HUMAN
FBW1A_HUMAN	DLG1_HUMAN
FBW1A_HUMAN	NFKB2_HUMAN
FBW1A_HUMAN	IKBE_HUMAN
FBW1A_HUMAN	NRF1_HUMAN
FBW1A_HUMAN	FGD3_HUMAN
FBW1A_HUMAN	MYC_HUMAN
FBW1A_HUMAN	DLG5_HUMAN
FBW1A_HUMAN	BHE40_HUMAN
FBW1A_HUMAN	IKKA_HUMAN
FBW1A_HUMAN	TFR1_HUMAN
FBW1A_HUMAN	DDIT4_HUMAN
FBW1A_HUMAN	XRCC1_HUMAN
FBW1A_HUMAN	BST2_HUMAN
FBW1A_HUMAN	PSMD4_HUMAN
FBW1A_HUMAN	CPEB1_HUMAN
FBW1A_HUMAN	PCAT1_HUMAN
FBW1A_HUMAN	FINC_HUMAN
FBW1A_HUMAN	BTG2_HUMAN
FBW1A_HUMAN	IRAK1_HUMAN
FBW1A_HUMAN	SNAI1_HUMAN
FBW1A_HUMAN	FZR1_HUMAN
FBW1A_HUMAN	DPTOR_HUMAN
FBW1A_HUMAN	TERF1_HUMAN
FBW1A_HUMAN	TRIB2_HUMAN
FBW1A_HUMAN	CCNE1_HUMAN
FBW1A_HUMAN	PKD2_HUMAN
FBW1A_HUMAN	PLK4_HUMAN
FBW1A_HUMAN	CEP68_HUMAN
FBW1A_HUMAN	REST_HUMAN
FBW1A_HUMAN	EF2K_HUMAN
FBW1A_HUMAN	PTTG1_HUMAN
FBW1A_HUMAN	CADH1_HUMAN
FBW1A_HUMAN	CCND1_HUMAN
FBW1A_HUMAN	FOXO3_HUMAN
FBW1A_HUMAN	GHR_HUMAN
FBW1A_HUMAN	INAR1_HUMAN
FBW1A_HUMAN	WWTR1_HUMAN
FBW1A_HUMAN	MAP2_HUMAN
FBW1A_HUMAN	PHLP1_HUMAN
FBW1A_HUMAN	UBP47_HUMAN
FBW1A_HUMAN	MXI1_HUMAN
FBW1A_HUMAN	CIKS_HUMAN
FBW1A_HUMAN	ELAV1_HUMAN
FBW1A_HUMAN	LPIN2_HUMAN
FBW1A_HUMAN	RASF1_HUMAN
FBW1A_HUMAN	TAZ_HUMAN
FBW1A_HUMAN	FGD1_HUMAN
FBW1A_HUMAN	ZHANG_HUMAN
FBW1A_HUMAN	RASH_HUMAN
FBW1A_HUMAN	FBW1B_HUMAN
FBW1A_HUMAN	I10R1_HUMAN
FBW1A_HUMAN	BMI1_HUMAN
FBW1A_HUMAN	SRC8_HUMAN
CJ090_HUMAN	P53_HUMAN
CBL_HUMAN	SRC_HUMAN
CBL_HUMAN	EGFR_HUMAN
CBL_HUMAN	FGFR2_HUMAN
CBL_HUMAN	BCR_HUMAN
CBL_HUMAN	VGFR1_HUMAN
CBL_HUMAN	LCK_HUMAN
CBL_HUMAN	IL6RB_HUMAN
CBL_HUMAN	FGFR3_HUMAN
CBL_HUMAN	FYN_HUMAN
CBL_HUMAN	P85A_HUMAN
CBL_HUMAN	FRS2_HUMAN
CBL_HUMAN	MTOR_HUMAN
CBL_HUMAN	KSYK_HUMAN
CBL_HUMAN	ABL1_HUMAN
CBL_HUMAN	SH3K1_HUMAN
CBL_HUMAN	STA5B_HUMAN
CBL_HUMAN	TPOR_HUMAN
CBL_HUMAN	EPHA2_HUMAN
CBL_HUMAN	LYN_HUMAN
CBL_HUMAN	FGR_HUMAN
CBL_HUMAN	FCG2A_HUMAN
CBL_HUMAN	RON_HUMAN
CBL_HUMAN	CRKL_HUMAN
CBL_HUMAN	MYBPP_HUMAN
CBL_HUMAN	VAV_HUMAN
CBL_HUMAN	TIE2_HUMAN
CBL_HUMAN	PK3CG_HUMAN
CBL_HUMAN	FGFR4_HUMAN
CBL_HUMAN	ITA5_HUMAN
CBL_HUMAN	ARHG7_HUMAN
CBL_HUMAN	ERBB2_HUMAN
CBL_HUMAN	SPY2_HUMAN
CBL_HUMAN	S100B_HUMAN
CBL_HUMAN	IRF8_HUMAN
CBL_HUMAN	ALK_HUMAN
CBL_HUMAN	KIT_HUMAN
CBL_HUMAN	PGFRB_HUMAN
CBL_HUMAN	NLRP3_HUMAN
CBL_HUMAN	FGFR1_HUMAN
CBL_HUMAN	NFAC1_HUMAN
CBL_HUMAN	MET_HUMAN
CBL_HUMAN	CD5_HUMAN
CBL_HUMAN	SRBS2_HUMAN
CBL_HUMAN	ZAP70_HUMAN
CBL_HUMAN	LRIG1_HUMAN
CBL_HUMAN	EPHB1_HUMAN
CBL_HUMAN	PLCG1_HUMAN
CBL_HUMAN	STA5A_HUMAN
CBL_HUMAN	B2L11_HUMAN
CBL_HUMAN	CSF1R_HUMAN
CBL_HUMAN	HGS_HUMAN
CBL_HUMAN	STAP2_HUMAN
CBL_HUMAN	CFTR_HUMAN
CBL_HUMAN	PDGFA_HUMAN
CBL_HUMAN	VGFR2_HUMAN
CBL_HUMAN	IL2RG_HUMAN
CBL_HUMAN	IGF1R_HUMAN
CBL_HUMAN	PAR2_HUMAN
CBL_HUMAN	PGFRA_HUMAN
CBL_HUMAN	EPHA8_HUMAN
CBL_HUMAN	CTNB1_HUMAN
CBL_HUMAN	TNR16_HUMAN
CBL_HUMAN	SPRE2_HUMAN
CBL_HUMAN	YES_HUMAN
CBLB_HUMAN	SH3K1_HUMAN
CBLB_HUMAN	CBLB_HUMAN
CBLB_HUMAN	CD3Z_HUMAN
CBLB_HUMAN	NLRP3_HUMAN
CBLB_HUMAN	KSYK_HUMAN
CBLB_HUMAN	EGFR_HUMAN
CBLB_HUMAN	IRS1_HUMAN
CBLB_HUMAN	PGFRA_HUMAN
CBLB_HUMAN	PLCG1_HUMAN
CBLB_HUMAN	SRC_HUMAN
CBLB_HUMAN	P85A_HUMAN
CBLB_HUMAN	P85B_HUMAN
CBLC_HUMAN	EGFR_HUMAN
CBLC_HUMAN	SRC_HUMAN
HAKAI_HUMAN	CADH1_HUMAN
HAKAI_HUMAN	ANXA2_HUMAN
HAKAI_HUMAN	NAR4_HUMAN
HAKAI_HUMAN	SRC8_HUMAN
CCAR1_HUMAN	P53_HUMAN
CIP1_HUMAN	CIP1_HUMAN
CIP1_HUMAN	CCNB1_HUMAN
CCNF_HUMAN	RIR2_HUMAN
CCNF_HUMAN	CDC6_HUMAN
CCNF_HUMAN	CP110_HUMAN
CDC20_HUMAN	CDN1B_HUMAN
CDC20_HUMAN	CCNB1_HUMAN
CDC20_HUMAN	CENPF_HUMAN
CDC20_HUMAN	PTTG1_HUMAN
CDC20_HUMAN	RUNX1_HUMAN
CDC20_HUMAN	MCL1_HUMAN
CDC20_HUMAN	BUB1B_HUMAN
CDC20_HUMAN	NEK2_HUMAN
CDC20_HUMAN	CCNA2_HUMAN
CDC20_HUMAN	KMT2A_HUMAN
CDC20_HUMAN	NDF2_HUMAN
CDC20_HUMAN	REV1_HUMAN
CDC20_HUMAN	MLP3A_HUMAN
CDC20_HUMAN	PHF8_HUMAN
CDC20_HUMAN	RASF1_HUMAN
CDC20_HUMAN	DRB4_HUMAN
CDC20_HUMAN	CDN1A_HUMAN
CDC20_HUMAN	SP100_HUMAN
CDC20_HUMAN	TRRAP_HUMAN
CDC20_HUMAN	AXIN2_HUMAN
UB2R1_HUMAN	IKBA_HUMAN
UB2R1_HUMAN	MYBB_HUMAN
UB2R1_HUMAN	FBW1A_HUMAN
UB2R1_HUMAN	CREM_HUMAN
UB2R1_HUMAN	CDN1B_HUMAN
UB2R1_HUMAN	CTNB1_HUMAN
CDCA3_HUMAN	WEE1_HUMAN
CDCA3_HUMAN	CDN1A_HUMAN
CADH1_HUMAN	AURKA_HUMAN
CGRF1_HUMAN	WLS_HUMAN
CGRF1_HUMAN	EGFR_HUMAN
CHFR_HUMAN	HDAC1_HUMAN
CHFR_HUMAN	KIF22_HUMAN
CHFR_HUMAN	CHFR_HUMAN
CHFR_HUMAN	PLK1_HUMAN
CHFR_HUMAN	TOPK_HUMAN
CHFR_HUMAN	CHD1L_HUMAN
CHFR_HUMAN	PARP1_HUMAN
CHFR_HUMAN	SNF5_HUMAN
CHFR_HUMAN	HLTF_HUMAN
CHFR_HUMAN	SMCA4_HUMAN
CHFR_HUMAN	SMRD1_HUMAN
CHFR_HUMAN	AURKA_HUMAN
CISH_HUMAN	B2L11_HUMAN
CNOT4_HUMAN	YAP1_HUMAN
CNOT4_HUMAN	RBM15_HUMAN
CNOT4_HUMAN	CNOT4_HUMAN
CNOT4_HUMAN	KDM5C_HUMAN
COP1_HUMAN	SOX2_HUMAN
COP1_HUMAN	JUN_HUMAN
COP1_HUMAN	ETV5_HUMAN
COP1_HUMAN	ETV4_HUMAN
COP1_HUMAN	MTA1_HUMAN
COP1_HUMAN	CTNB1_HUMAN
COP1_HUMAN	P53_HUMAN
COP1_HUMAN	TCPD_HUMAN
COP1_HUMAN	CDN1B_HUMAN
COP1_HUMAN	ACACA_HUMAN
COP1_HUMAN	DCTN6_HUMAN
COP1_HUMAN	STAT3_HUMAN
COP1_HUMAN	FOXO4_HUMAN
COP1_HUMAN	1433S_HUMAN
COP1_HUMAN	SIR1_HUMAN
COP1_HUMAN	CRTC1_HUMAN
COP1_HUMAN	ETV1_HUMAN
COP1_HUMAN	5NTD_HUMAN
COP1_HUMAN	MMP1_HUMAN
COP1_HUMAN	COP1_HUMAN
COP1_HUMAN	ACACB_HUMAN
COP1_HUMAN	CRTC2_HUMAN
CRBN_HUMAN	CRBN_HUMAN
CRBN_HUMAN	SALL4_HUMAN
CRBN_HUMAN	IKZF3_HUMAN
CRBN_HUMAN	TAU_HUMAN
CRBN_HUMAN	IKZF1_HUMAN
CRBN_HUMAN	P63_HUMAN
DCAF1_HUMAN	LATS2_HUMAN
DCAF1_HUMAN	KTNA1_HUMAN
DCAF1_HUMAN	2AAA_HUMAN
DCAF1_HUMAN	UNG_HUMAN
DCAF1_HUMAN	TERT_HUMAN
DCAF1_HUMAN	MCM10_HUMAN
DCAF1_HUMAN	SAMH1_HUMAN
DCAF1_HUMAN	LATS1_HUMAN
DCA11_HUMAN	TIF1B_HUMAN
DCA11_HUMAN	PB2_I33A0
DCA11_HUMAN	NF2L2_HUMAN
DCA11_HUMAN	GEN_HUMAN
DCA12_HUMAN	MAGA3_HUMAN
DCA12_HUMAN	MAGA6_HUMAN
DC121_HUMAN	PB2_I33A0
DCA15_HUMAN	RBM39_HUMAN
DCA16_HUMAN	SPIN4_HUMAN
DCAF4_HUMAN	OPTN_HUMAN
DCAF4_HUMAN	ST7_HUMAN
DCAF8_HUMAN	MLF2_HUMAN
DDB1_HUMAN	NR5A2_HUMAN
DDB1_HUMAN	CSN5_HUMAN
DDB1_HUMAN	P73_HUMAN
DDB1_HUMAN	CCNK_HUMAN
DDB2_HUMAN	XPC_HUMAN
DDB2_HUMAN	DDB2_HUMAN
DDB2_HUMAN	H2A1A_HUMAN
DDB2_HUMAN	H2A1_HUMAN
DDB2_HUMAN	DTL_HUMAN
DDX58_HUMAN	MARH5_HUMAN
DET1_HUMAN	MTA1_HUMAN
DET1_HUMAN	ACACA_HUMAN
DET1_HUMAN	JUN_HUMAN
DET1_HUMAN	ACACB_HUMAN
DET1_HUMAN	FOXO1_HUMAN
DET1_HUMAN	P53_HUMAN
DET1_HUMAN	CRTC2_HUMAN
DTL_HUMAN	CDN1A_HUMAN
DTL_HUMAN	FBH1_HUMAN
DTL_HUMAN	PDCD4_HUMAN
DTL_HUMAN	PCNA_HUMAN
DTL_HUMAN	CDT1_HUMAN
DTL_HUMAN	A4F535_HBV
DTL_HUMAN	DPOD4_HUMAN
DTL_HUMAN	KMT5A_HUMAN
DTL_HUMAN	P53_HUMAN
DTL_HUMAN	CDC6_HUMAN
DTL_HUMAN	ERCC5_HUMAN
